Station ID,RYC,Elevation,0 ft,,
River Basin,DELTA,County,SOLANO,,
Hydrologic Area,SAN FRANCISCO BAY,Nearby City,FAIRFIELD,,
Latitude,38.083971°,Longitude,-121.995878°,,
Operator,CA Dept of Water Resources/Div of Integrated Science and Eng,Maintenance,CA Dept of Water Resources/Div of Integrated Science and Eng,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"BATTERY VOLTAGE, VOLTS",14,(event),(BAT VOL),DATA XCHG-DWR ISE,06/19/2015 to present
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-DWR ISE,06/19/2015 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-DWR ISE,06/19/2015 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-DWR ISE,06/19/2015 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-DWR ISE,06/19/2015 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-DWR ISE,06/19/2015 to present
"WATER, TURBIDITY, NTU",27,(event),(TURB W),DATA XCHG-DWR ISE,06/19/2015 to present
