sonde_name,start_time,end_time,cdec_code,staff_name_visit,analyte_name,unit_name,sonde_clean,sonde_dirty,verification_clean,verification_dirty,sonde_diff,verification_diff,fouling_error,fouling_percent,staff_name_postdeploy,postdeploy_time,postdeploy_standard_1,postdeploy_reading_1,postdeploy_standard_2,postdeploy_reading_2,drift_error,drift_percent,total_error,total_percent,rating,lot_number
SM-RAM,3/21/2024 12:50,5/2/2024 14:10,ONG,Chris Gray,Turbidity,NTU,1.47,1.44,1.15,1.06,0.03,0.09,-0.06,-4.166666667,Chris Gray,5/3/2024 12:00,0,0.22,124,124.35,0.285,-0.281463611,0.345,4.448130277,Excellent,23G24003826
SM-RIC,5/2/2024 14:10,7/12/2024 12:00,ONG,Chris Gray,Turbidity,NTU,1.39,0.95,1.48,1.29,0.44,0.19,0.25,26.31578947,Chris Gray,7/12/2024 15:30,0,0.03,124,114.25,4.89,8.533916849,5.14,34.84970632,Poor,23G24003826
SM-RAM,7/12/2024 12:00,8/29/2024 12:55,ONG,Chris Gray,Turbidity,NTU,4.47,4.52,4.52,4.42,-0.05,0.1,-0.15,-3.318584071,Chris Gray,8/30/2024 9:50,0,0.16,124,123.09,0.535,0.73929645,0.685,4.057880521,Excellent,23G24003826
SM-MAG,7/30/2024 13:30,9/25/2024 12:00,HRO,Jeremy DelCid,Turbidity,NTU,4.37,5.15,5.47,5.61,-0.78,-0.14,-0.64,-12.42718447,Travis Brown,9/27/2024 14:29,0,0.14,124,115,4.57,7.826086957,5.21,20.25327142,Fair,24B24009095
SM-RIC,8/29/2024 12:55,10/10/2024 12:30,ONG,Chris Gray,Turbidity,NTU,2.5,2.12,1.99,2.08,0.38,-0.09,0.47,22.16981132,Chris Gray,10/10/2024 15:30,0,0.1,124,117.9,3.1,5.173876166,3.57,27.34368749,Poor,24E24011758
SM-RAM,10/10/2024 12:30,11/21/2024 12:40,ONG,Chris Gray,Turbidity,NTU,1.35,1.48,1.55,1.86,-0.13,-0.31,0.18,12.16216216,Chris Gray,11/22/2024 13:30,0,-0.3,124,120.97,1.665,2.504753245,1.845,14.66691541,Excellent,24E24011758
SM-RIC,11/21/2024 12:40,12/27/2024 12:10,ONG,Chris Gray,Turbidity,NTU,4.28,4.32,4.16,4.18,-0.04,-0.02,-0.02,-0.462962963,Chris Gray,12/30/2024 13:00,0,0.04,124,121.1,1.47,2.394715111,1.49,2.857678074,Excellent,24E24011758
SM-JOR,12/6/2024 10:33,2/25/2025 12:05,TRP,Travis Brown,Turbidity,NTU,19.71,9.98,16.73,8.03,9.73,8.7,1.03,10.32064128,Travis Brown,2/26/2025 13:00,0,0.36,124,120.94,1.71,2.530180255,2.74,12.85082154,Excellent,24E24011758
SM-MAG,12/17/2024 14:00,3/13/2025 11:45,HRO,Jeremy DelCid,Turbidity,NTU,18.73,16.92,22.6,23.71,1.81,-1.11,2.92,17.25768322,Jeremy DelCid,3/13/2025 16:10,0,0.45,124,125.26,0.855,-1.005907712,3.775,18.26359093,Good,24E24011758
SM-RAM,12/27/2024 12:10,1/30/2025 13:55,ONG,Chris Gray,Turbidity,NTU,5.83,6.6,5.38,5.87,-0.77,-0.49,-0.28,-4.242424242,Chris Gray,1/31/2025 10:30,0,0.34,124,120.74,1.8,2.700016565,2.08,6.942440807,Excellent,24E24011758
